,High,Low,Fifth,Fourhth,Third,Second,First,Nclose,Mtenth,Mfifteenth,Mtwentieth,Mthirtieth
238,27695,27209,27804,27729,27895,27811,27645,27780,27456,27151,27070,27285
239,27814,27570,27729,27895,27811,27645,27780,28020,27566,27238,27099,27290
240,28099,27799,27895,27811,27645,27780,28020,27945,27685,27316,27158,27296
241,28115,27906,27811,27645,27780,28020,27945,28092,27768,27421,27215,27301
242,28135,27897,27645,27780,28020,27945,28092,28208,27845,27533,27281,27305
243,28235,27774,27780,28020,27945,28092,28208,28171,27893,27641,27366,27324
244,28335,28084,28020,27945,28092,28208,28171,27687,27930,27740,27450,27345
245,28031,27635,27945,28092,28208,28171,27687,27573,27926,27797,27492,27349
246,27798,27540,28092,28208,28171,27687,27573,27661,27893,27827,27553,27352
247,27729,27530,28208,28171,27687,27573,27661,27961,27878,27850,27614,27346
248,28005,27635,28171,27687,27573,27661,27961,27932,27910,27866,27683,27350
249,28018,27853,27687,27573,27661,27961,27932,28198,27925,27874,27745,27375
250,28218,27986,27573,27661,27961,27932,28198,28446,27943,27905,27814,27420
251,28478,28245,27661,27961,27932,28198,28446,28463,27993,27942,27880,27474
252,28576,28417,27961,27932,28198,28446,28463,28420,28030,27986,27938,27531
253,28549,28319,27932,28198,28446,28463,28420,28182,28051,28037,27972,27594
254,28518,28138,28198,28446,28463,28420,28182,28504,28052,28064,27991,27651
255,28546,28070,28446,28463,28420,28182,28504,28370,28134,28096,28030,27706
256,28578,28315,28463,28420,28182,28504,28370,28112,28214,28125,28054,27773
257,28402,28083,28420,28182,28504,28370,28112,27561,28259,28126,28069,27829
258,28117,27529,28182,28504,28370,28112,27561,27459,28219,28083,28064,27862
259,27676,27416,28504,28370,28112,27561,27459,27563,28171,28035,28048,27887
260,27609,27470,28370,28112,27561,27459,27563,27705,28108,28027,28025,27912
261,27854,27649,28112,27561,27459,27563,27705,28114,28034,28036,28013,27931
262,28161,27814,27561,27459,27563,27705,28114,28187,27999,28066,28014,27958
263,28263,28071,27459,27563,27705,28114,28187,28071,27976,28081,28013,27973
264,28264,27866,27563,27705,28114,28187,28071,28223,27965,28090,28008,27982
265,28315,28135,27705,28114,28187,28071,28223,28298,27936,28092,28035,27999
266,28359,28163,28114,28187,28071,28223,28298,28236,27929,28082,28071,28012
267,28335,28193,28187,28071,28223,28298,28236,28101,27942,28067,28100,28026
268,28417,28017,28071,28223,28298,28236,28101,27866,27996,28046,28107,28041
